K,R,RANDOMS,l,B,disjoint,worse,n_pred,approximation
90,22,9,10.0,2.0,1,1,7,0.987261146
90,22,9,10.0,2.0,1,1,8,0.985138004
90,22,9,10.0,2.0,1,1,9,0.983014862
90,22,9,10.0,2.0,1,1,10,0.98089172
90,22,9,10.0,2.0,1,1,11,0.978768577
90,22,9,10.0,2.0,1,1,12,0.976645435
90,22,9,10.0,2.0,1,1,13,0.974522293
90,22,9,10.0,2.0,1,1,14,0.972399151
90,22,9,10.0,2.0,1,1,15,0.970276008
90,22,9,10.0,2.0,1,1,16,0.968152866
90,22,9,10.0,2.0,1,1,17,0.966029724
90,22,9,10.0,2.0,1,1,18,0.963906582
90,22,9,10.0,2.0,1,1,19,0.961783439
90,22,9,10.0,2.0,1,1,20,0.959660297
90,22,9,10.0,2.0,1,1,21,0.957537155
90,22,9,10.0,2.0,1,1,22,0.955414013
100,25,10,10.0,2.0,1,0,0,0.78721374
100,25,10,10.0,2.0,1,0,1,1.0
100,25,10,10.0,2.0,1,0,2,1.0
100,25,10,10.0,2.0,1,0,3,1.0
100,25,10,10.0,2.0,1,0,4,1.0
100,25,10,10.0,2.0,1,0,5,1.0
100,25,10,10.0,2.0,1,0,6,1.0
100,25,10,10.0,2.0,1,0,7,1.0
100,25,10,10.0,2.0,1,0,8,1.0
100,25,10,10.0,2.0,1,0,9,1.0
100,25,10,10.0,2.0,1,0,10,1.0
100,25,10,10.0,2.0,1,0,11,1.0
100,25,10,10.0,2.0,1,0,12,1.0
100,25,10,10.0,2.0,1,0,13,1.0
100,25,10,10.0,2.0,1,0,14,1.0
100,25,10,10.0,2.0,1,0,15,1.0
100,25,10,10.0,2.0,1,0,16,1.0
100,25,10,10.0,2.0,1,0,17,1.0
100,25,10,10.0,2.0,1,0,18,1.0
100,25,10,10.0,2.0,1,0,19,1.0
100,25,10,10.0,2.0,1,0,20,1.0
100,25,10,10.0,2.0,1,0,21,1.0
